SKU,Title,Description,WebDisplay,Product URL,Image URL,price,List Price,Manufacturer,ManufactModel,UPC,Promo Text,Availability,Condition,,
1599944,Shimano Chain 105 CN-5600 10/speed,"Shimano Chain 105 CN-5600 10/speed.  Ten Speed specific chain, race quality.  Use for 1o/speed drivetrains only.  Special pin to connect the chain.",Bicycles > Chains,1599944/nt,http://www.bicyclebuys.com/productimages/1599944.jpg,29.99,40,Shimano,5600,689228087149,Free Shipping On Orders Over $150.00,Yes,New,,"Shimano Chain 105 CN-5600 10/speed.  Ten Speed specific chain, race quality.  Use for 1o/speed drivetrains only.  Special pin to connect the chain."
0710115PART,Trico Baggy Gel Women's Short,"Trico Baggy Gel Woman's Short.  Patented Trico Gel chamois provides the ultimate in comfort.  Elastic waist band with drawstring and elastic leg gripper system.  Dual velcro closure cargo pockets and dual side seam pockets.  Outer shell fabric is 100% Sup",Bicycles > Cycle Shorts,0710115PART/nt,http://www.bicyclebuys.com/productimages/0710113.gif,54.99,70,Trico,,,Free Shipping On Orders Over $150.00,Yes,New,,"Trico Baggy Gel Woman's Short.  Patented Trico Gel chamois provides the ultimate in comfort.  Elastic waist band with drawstring and elastic leg gripper system.  Dual velcro closure cargo pockets and dual side seam pockets.  Outer shell fabric is 100% Sup"
0710113PART,Trico Baggy Gel Short,"Trico Baggy Gel Short.  Elastic waist band with drawstring and elastic leg gripper system. Dual velcro closuer cargo pockets and dual side seam pockets. Outer shell fabric is 100% Supplex Nylon Inner brief is a breathable Nylon, Lycra blend.",Bicycles > Cycle Shorts,0710113PART/nt,http://www.bicyclebuys.com/productimages/0710113.gif,69.99,80,Trico,,,Free Shipping On Orders Over $150.00,Yes,New,,"Trico Baggy Gel Short.  Elastic waist band with drawstring and elastic leg gripper system. Dual velcro closuer cargo pockets and dual side seam pockets. Outer shell fabric is 100% Supplex Nylon Inner brief is a breathable Nylon, Lycra blend."
1729968,OnGuard Boxer Disc Lock 5.5mm (5051),"Dual Lock Down Deadbolt Locking mechanism, is anti-drill and pick proof.  Dual Steel balls locking mechanism.  Weatherproof and heat resistant.  Comes with a carrying pouch.  Disk reminder cable included free.  Special Titanium finish.",Bicycles > Disc Locks,1729968/nt,http://www.bicyclebuys.com/productimages/1729962.jpg,29.99,35,ONGuard,45005051,,Free Shipping On Orders Over $150.00,Yes,New,,"Dual Lock Down Deadbolt Locking mechanism, is anti-drill and pick proof.  Dual Steel balls locking mechanism.  Weatherproof and heat resistant.  Comes with a carrying pouch.  Disk reminder cable included free.  Special Titanium finish."
0427210PART,Crank Brothers 5050 X Pedals,"Crank Brothers 5050 X pedals are innovative and cool looking.  Ideal for BMX, Downhill or Freeride.  The dual material design allows custom pin placement.",Bicycles > Bmx / Adult Standard Pedals,0427210PART/nt,http://www.bicyclebuys.com/productimages/0427210PART.jpg,54.99,70,Crank Brothers,,,Free Shipping On Orders Over $150.00,Yes,New,,"Crank Brothers 5050 X pedals are innovative and cool looking.  Ideal for BMX, Downhill or Freeride.  The dual material design allows custom pin placement."
0139961R,Cateye BM-500G (R) Cycle Mirror,"Cateye BM-500G (R) Cycle Mirror features a heavy duty design that is light and fully adjustable. The scratch resistant mirror has a wide angle for easy viewing and is easy to install. The mirror goes into the end of the handle bar.",Bicycles > Mirrors,0139961R/nt,http://www.bicyclebuys.com/productimages/0139961.jpg,11.99,16,CatEye,1902231,725012004661,Free Shipping On Orders Over $150.00,Yes,New,,"Cateye BM-500G (R) Cycle Mirror features a heavy duty design that is light and fully adjustable. The scratch resistant mirror has a wide angle for easy viewing and is easy to install. The mirror goes into the end of the handle bar."
1599943,Sram PC-991 Hollow Pin Power Chain Pro,"Sram PC-991 9/Speed Hollow Pin Chain is an excellent nickle plated 9-speed chain. Smooth shifting and compatible with SRAM, Campagnolo® or Shimano® systems. Road or off-road, 2x9 or 3x9, this chain is ready for competition at the highest level.",Bicycles > Chains,1599943/nt,http://www.bicyclebuys.com/productimages/1599943.jpg,39.99,55,Sram,88.2709.114.105,710845011917,Free Shipping On Orders Over $150.00,Yes,New,,"Sram PC-991 9/Speed Hollow Pin Chain is an excellent nickle plated 9-speed chain. Smooth shifting and compatible with SRAM, Campagnolo® or Shimano® systems. Road or off-road, 2x9 or 3x9, this chain is ready for competition at the highest level."
1599910,KMC Missing Link-10,"KMC missing link fits 10 speed chains. Master link easily mounts (6.2mm width).",Bicycles > Chains,1599910/nt,http://www.bicyclebuys.com/productimages/1599908.jpg,4.99,7,KMC Chain,CL559R,766759000943,Free Shipping On Orders Over $150.00,Yes,New,,"KMC missing link fits 10 speed chains. Master link easily mounts (6.2mm width)."
0123007,"Hollywood Road Runner (HR 520) 5 Bike 2 Car Receiver","Hollywood Road Runner (HR 520) 5 Bike 2 Car Receiver is built to safely and easily transport up to five adult bikes. Bikes are held in place with durable rubber bike stabilizers with integrated tie down straps; an anti-sway tiedown bar prevents them from",Bicycles > Hitch Carriers,0123007/nt,http://www.bicyclebuys.com/productimages/0123007.jpg,269.96,300,Hollywood Engineering,HR520,,Free Shipping On Orders Over $150.00,Yes,New,,"Hollywood Road Runner (HR 520) 5 Bike 2 Car Receiver is built to safely and easily transport up to five adult bikes. Bikes are held in place with durable rubber bike stabilizers with integrated tie down straps; an anti-sway tiedown bar prevents them from"
0750118CI-N,Pace Cycling Cap Cinelli Italian Black,"Pace Cycling Cap Cinelli Italian Black.  This sleek black number has the Italian flag stripe going front to back.  Sure to be a hit at your next Tour De France party!",Bicycles > Cycle Hats/Caps,0750118CI-N/nt,http://www.bicyclebuys.com/productimages/0750118CI-N.jpg,14.99,17,Pace Clothing,15-0701,836481002031,Free Shipping On Orders Over $150.00,Yes,New,,"Pace Cycling Cap Cinelli Italian Black.  This sleek black number has the Italian flag stripe going front to back.  Sure to be a hit at your next Tour De France party!"
1766675,Park Home Mechanic (PW-5) Pedal Wrench,"Park PW-5 Pedal Wrench.  The PW-5 is perfect for the home workshop or event tool box. Although economically priced, this 15mm pedal wrench, like all Park Tool products, is built to last. Made from heat-treated spring steel and vinyl dipped for comfort. 11",Bicycles > Drivetrain Tools,1766675/nt,http://www.bicyclebuys.com/productimages/1766675.jpg,11.95,12,Park,PW-5,763477005632,Free Shipping On Orders Over $150.00,Yes,New,,"Park PW-5 Pedal Wrench.  The PW-5 is perfect for the home workshop or event tool box. Although economically priced, this 15mm pedal wrench, like all Park Tool products, is built to last. Made from heat-treated spring steel and vinyl dipped for comfort. 11"
0701150PART,Michelin (Hincapie) Team Jersey,"World class quality & style, 15''/38 cm invisible zip, Elastic at bottom, 3 back pockets.",Bicycles > Jerseys,0701150PART/nt,http://www.bicyclebuys.com/productimages/0701150PART.jpg,79.99,70,Michelin,,,Free Shipping On Orders Over $150.00,Yes,New,,"World class quality & style, 15''/38 cm invisible zip, Elastic at bottom, 3 back pockets."
0601477,Kenda Kwest 26x1.5 Blackwall Tire,"These tires, normally found on high-end hybrids, offer great speed, traction, and puncture resistance.  Whether you're hitting the streets of the big city, hopping curbs in suburbia, or rolling through the old countryside, these tires are for you.  60 tpi",Bicycles > Mountain Tires,0601477/nt,http://www.bicyclebuys.com/productimages/0601477.jpg,19.99,25,KENDA,K-193,047853729306,Free Shipping On Orders Over $150.00,Yes,New,,"These tires, normally found on high-end hybrids, offer great speed, traction, and puncture resistance.  Whether you're hitting the streets of the big city, hopping curbs in suburbia, or rolling through the old countryside, these tires are for you.  60 tpi"
BHCAPRULPART,BikeHard Carbolite Pro Ultegra Road Bike,"The BikeHard Carbolite Pro with Shimano Ultegra 6700 component package comes in at a lightweight 17.0 pounds.  Equipped with a full Shimano Ultegra package, and lightweight BikeHard Challenger Pro Road Wheels.  The frame is a 6061 Double Butted main frame",Bicycles > Road Bikes,BHCAPRULPART/nt,http://www.bicyclebuys.com/productimages/BHCAPRULPART.jpg,1699.95,2500,BikeHard,,,Free Shipping On Orders Over $150.00,Yes,New,,"The BikeHard Carbolite Pro with Shimano Ultegra 6700 component package comes in at a lightweight 17.0 pounds.  Equipped with a full Shimano Ultegra package, and lightweight BikeHard Challenger Pro Road Wheels.  The frame is a 6061 Double Butted main frame"
0119767,Topeak Micro Rocket CB (Carbon TMR-CB) Pump,"Topeak Micro Rocket CB pump is a pocket sized, highly efficient carbon road pump.  Locking carbon handle and carbon barrel sheath. Single-action, high-pressure design pumps to 160 psi. Weight 55grams.",Bicycles > Frame Pumps,0119767/nt,http://www.bicyclebuys.com/productimages/0119767.jpg,34.99,45,Topeak,TMR-CB,,Free Shipping On Orders Over $150.00,Yes,New,,"Topeak Micro Rocket CB pump is a pocket sized, highly efficient carbon road pump.  Locking carbon handle and carbon barrel sheath. Single-action, high-pressure design pumps to 160 psi. Weight 55grams."
0721152PART,Cannondale Classic Cycling Short,"Cannondale Classic short is constructed of Ergoflex Plus fabric, Stitch free chamois provides greater comfort.  Contoured with 6 panels. Integrated envelope style back pocket and reflective accents complete this short.",Bicycles > Cycle Shorts,0721152PART/nt,http://www.bicyclebuys.com/productimages/0721152PART.jpg,42.99,50,Cannondale,,,Free Shipping On Orders Over $150.00,Yes,New,,"Cannondale Classic short is constructed of Ergoflex Plus fabric, Stitch free chamois provides greater comfort.  Contoured with 6 panels. Integrated envelope style back pocket and reflective accents complete this short."
0710137PART,Cannondale Classique Jersey,"Cannondale Classique Jersey is made of dry light fabric and cut in a competition fit cut. Reflective accents along shoulders and seam of jersey bottom. 3 traditional back pockets and an easy access side zip pocket.",Bicycles > Jerseys,0710137PART/nt,http://www.bicyclebuys.com/productimages/0710137PART.jpg,39.99,55,Cannondale,,,Free Shipping On Orders Over $150.00,Yes,New,,"Cannondale Classique Jersey is made of dry light fabric and cut in a competition fit cut. Reflective accents along shoulders and seam of jersey bottom. 3 traditional back pockets and an easy access side zip pocket."
0710135PART,Cannondale Berm Jersey,"Cannondale Berm Jersey is made of Micro C fabric and cut in an everyday fit.  Chafe free flat-lock stitching, mesh side panels for ventilation.  3 back pockets store mid-ride essentials.",Bicycles > Jerseys,0710135PART/nt,http://www.bicyclebuys.com/productimages/0710135PART.jpg,44.99,55,Cannondale,,,Free Shipping On Orders Over $150.00,Yes,New,,"Cannondale Berm Jersey is made of Micro C fabric and cut in an everyday fit.  Chafe free flat-lock stitching, mesh side panels for ventilation.  3 back pockets store mid-ride essentials."
0701189PART,Louis Garneau Request Plus Cycling Short,"Louis Garneau Request Plus Cycling Short. The simplicity of these shorts makes them a great fit for a variety of activities. Made of Signature Mat lycra.",Bicycles > Cycle Shorts,0701189PART/nt,http://www.bicyclebuys.com/productimages/0701189PART.jpg,29.99,50,Louis Garneau,1050191,,Free Shipping On Orders Over $150.00,Yes,New,,"Louis Garneau Request Plus Cycling Short. The simplicity of these shorts makes them a great fit for a variety of activities. Made of Signature Mat lycra."
0760055PART,Cannondale Grind Sock,"Cannondale Grind Sock is made of a thin comfortable moisture wicking Tactel/Spandex blend.  It has a built in arch support with reinforced toe and heel for durability.",Bicycles > Cycling Socks,0760055PART/nt,http://www.bicyclebuys.com/productimages/0760055PART.jpg,9.99,10,Cannondale,,,Free Shipping On Orders Over $150.00,Yes,New,,"Cannondale Grind Sock is made of a thin comfortable moisture wicking Tactel/Spandex blend.  It has a built in arch support with reinforced toe and heel for durability."
0760054PART,Cannondale All Mountain Sock,"Cannondale All Mountain Sock is made of a thin comfortable moisture wicking Tactel/Spandex blend.  It has a built in arch support with reinforced toe and heel for durability.",Bicycles > Cycling Socks,0760054PART/nt,http://www.bicyclebuys.com/productimages/0760054PART.jpg,9.99,10,Cannondale,,,Free Shipping On Orders Over $150.00,Yes,New,,"Cannondale All Mountain Sock is made of a thin comfortable moisture wicking Tactel/Spandex blend.  It has a built in arch support with reinforced toe and heel for durability."
0771010PART,Bellwether Pro Mesh Cycling Jersey,"Bellwether Pro Mesh Jersey keeps a rider extremely comfortable due to the strategically placed mesh panels.  Quadra-Tec fabric wicks moisture to the outer surface for consistent body temperature regulation.  Micor-grid design allows for increased ventilat",Bicycles > Jerseys,0771010PART/nt,http://www.bicyclebuys.com/productimages/0771010PART.jpg,44.99,55,Bellwether,91183,,Free Shipping On Orders Over $150.00,Yes,New,,"Bellwether Pro Mesh Jersey keeps a rider extremely comfortable due to the strategically placed mesh panels.  Quadra-Tec fabric wicks moisture to the outer surface for consistent body temperature regulation.  Micor-grid design allows for increased ventilat"
0771011PART,Bellwether Fuel Cycling Jersey,"Bellwether Fuel Cycling Jersey.  Tectra-Lite favbric channels moisture to the fabric's outer surface to maintain consistent body temperature regulation.  Micropoly design allows for increased ventilation as well as elasticity for unsurpassed comfort and p",Bicycles > Jerseys,0771011PART/nt,http://www.bicyclebuys.com/productimages/0771011PART.jpg,54.99,65,Bellwether,,,Free Shipping On Orders Over $150.00,Yes,New,,"Bellwether Fuel Cycling Jersey.  Tectra-Lite favbric channels moisture to the fabric's outer surface to maintain consistent body temperature regulation.  Micropoly design allows for increased ventilation as well as elasticity for unsurpassed comfort and p"
0771017PART,Bellwether Ultralight Baggy Short,"Bellwether Ultralight Baggy Short. These shorts features casual on or off the bike looks in an extremely durable, light weight high performing package. Two deep side pockets with zippered closure. Gusseted panel design removes all unwanted seams underneat",Bicycles > Cycle Shorts,0771017PART/nt,http://www.bicyclebuys.com/productimages/0771017PART.jpg,39.99,55,Bellwether,,,Free Shipping On Orders Over $150.00,Yes,New,,"Bellwether Ultralight Baggy Short. These shorts features casual on or off the bike looks in an extremely durable, light weight high performing package. Two deep side pockets with zippered closure. Gusseted panel design removes all unwanted seams underneat"
0771018PART,Bellwether Escape Baggy Cycling Short,"Bellwether Escape Baggy Short. Designed not only to look good but to provide performance to the off-road cyclists who will accept nothing but the best. Tough outer shell is designed to transfer moisture while maintaining its bullet-proof durability. Gusse",Bicycles > Cycle Shorts,0771018PART/nt,http://www.bicyclebuys.com/productimages/0771018PART.jpg,39.99,65,Bellwether,,,Free Shipping On Orders Over $150.00,Yes,New,,"Bellwether Escape Baggy Short. Designed not only to look good but to provide performance to the off-road cyclists who will accept nothing but the best. Tough outer shell is designed to transfer moisture while maintaining its bullet-proof durability. Gusse"
0771019PART,Bellwether Strada Short,"Bellwether Strada Short. Premium performace and comfort in this modified 8-panel short. Fieldsensor's technically advanced multi-layered cross yarn fabric design effectively channels moisture to the garment's outer surface for maximum drying comfort while",Bicycles > Cycle Shorts,0771019PART/nt,http://www.bicyclebuys.com/productimages/0771019PART.jpg,54.99,65,Bellwether,,,Free Shipping On Orders Over $150.00,Yes,New,,"Bellwether Strada Short. Premium performace and comfort in this modified 8-panel short. Fieldsensor's technically advanced multi-layered cross yarn fabric design effectively channels moisture to the garment's outer surface for maximum drying comfort while"
DITRF6PART,Diadora Team Racer Fibra,"Diadora Team Racer Fibra.  Fitting: Ergonomic fit.  Insole: Removable, anatomic-design, thermoformed and lined in E.V.A., with micro-perforations for foot ventilation.  Heel: Ergonomic support, close-fitting, anti-tendonitis in Polytech.",Bicycles > Road Shoes,DITRF6PART/nt,http://www.bicyclebuys.com/productimages/DITRFPART.jpg,149.95,199.95,Diadora,,,Free Shipping On Orders Over $150.00,Yes,New,,"Diadora Team Racer Fibra.  Fitting: Ergonomic fit.  Insole: Removable, anatomic-design, thermoformed and lined in E.V.A., with micro-perforations for foot ventilation.  Heel: Ergonomic support, close-fitting, anti-tendonitis in Polytech."
0700017PART,Giordana Corsa RT Glove,"Corsa RT Gloves. Lightweight Lycra back. Lightly padded palm for better feel of the bar. Terry thumb pad. Wrist closure with Velcro fastener.",Bicycles > Cycling Gloves,0700017PART/nt,http://www.bicyclebuys.com/productimages/0700017PART.jpg,14.99,0,Giordana,,,Free Shipping On Orders Over $150.00,Yes,New,,"Corsa RT Gloves. Lightweight Lycra back. Lightly padded palm for better feel of the bar. Terry thumb pad. Wrist closure with Velcro fastener."
0710042PART,Giordana Lazio Cycling Jersey,"The Giordana Arts collection highlights selected regional flags of Italy.
The Lazio region in central Italy encompasses the city of Rome and is bordered on the west by the Thyrrenian sea.",Bicycles > Jerseys,0710042PART/nt,http://www.bicyclebuys.com/productimages/0710042PART.jpg,74.99,85,Giordana,,,Free Shipping On Orders Over $150.00,Yes,New,,"The Giordana Arts collection highlights selected regional flags of Italy.
The Lazio region in central Italy encompasses the city of Rome and is bordered on the west by the Thyrrenian sea."
0710047PART,Giordana Silverline Cycling Jersey,"The Giordana Silverline cycling jersey is all about looking sharp and keeping you comfortable, even on the long rides.",Bicycles > Jerseys,0710047PART/nt,http://www.bicyclebuys.com/productimages/0710047PART.jpg,59.99,80,Giordana,,,Free Shipping On Orders Over $150.00,Yes,New,,"The Giordana Silverline cycling jersey is all about looking sharp and keeping you comfortable, even on the long rides."
0710048PART,Giordana Strada Cycling Jersey,"Giordana Strada Cycling Jersey.  A multisport jersey.  Made of Miniquadro fabric.  Makes the jersey perfect for those really hot days.
Contrasting black collar and cuffs.",Bicycles > Jerseys,0710048PART/nt,http://www.bicyclebuys.com/productimages/0710048PART.jpg,34.99,45,Giordana,,,Free Shipping On Orders Over $150.00,Yes,New,,"Giordana Strada Cycling Jersey.  A multisport jersey.  Made of Miniquadro fabric.  Makes the jersey perfect for those really hot days.
Contrasting black collar and cuffs."
0119761,CycleAware VuBar Handlebar Cycle Mirror,"CycleAware VuBar Handlebar Cycle Mirror is strong, lightweight, and safe-to-use distortion Free Mirror.  The VuBar is shatterproof, has an adjustable viewing angle, and is installed instantly. Upon impact, the VüBar break-away mirror connection allows the",Bicycles > Mirrors,0119761/nt,http://www.bicyclebuys.com/productimages/0119761.jpg,16.99,20,CycleAware,01-6000,894900000600,Free Shipping On Orders Over $150.00,Yes,New,,"CycleAware VuBar Handlebar Cycle Mirror is strong, lightweight, and safe-to-use distortion Free Mirror.  The VuBar is shatterproof, has an adjustable viewing angle, and is installed instantly. Upon impact, the VüBar break-away mirror connection allows the"
0710049PART,Giordana Tenax Women's Cycling Jersey,"Giordana Tenax Woman's Cycling Jersey.  Giordana has worked hard to create a premium product to satisfy the unique comfort and performance needs of a women without neglecting the look.  Moovix material combines two types of fibers, nylon and DuPont Lycra,",Bicycles > Jerseys,0710049PART/nt,http://www.bicyclebuys.com/productimages/0710049PART.jpg,79.99,95,Giordana,,,Free Shipping On Orders Over $150.00,Yes,New,,"Giordana Tenax Woman's Cycling Jersey.  Giordana has worked hard to create a premium product to satisfy the unique comfort and performance needs of a women without neglecting the look.  Moovix material combines two types of fibers, nylon and DuPont Lycra,"
0710050PART,Giordana Race Cycling Jersey,"Giordana Race Cycling Jersey. Exclusive TVX2 and Mesh material.  Race Tech Jersey has micro-mesh side and shoulder panels in microfiber material for optimal breatheability.  Two rear pockets with reflective piping and logo plus a zippered pocket for walle",Bicycles > Jerseys,0710050PART/nt,http://www.bicyclebuys.com/productimages/0710050PART.jpg,69.99,95,Giordana,,,Free Shipping On Orders Over $150.00,Yes,New,,"Giordana Race Cycling Jersey. Exclusive TVX2 and Mesh material.  Race Tech Jersey has micro-mesh side and shoulder panels in microfiber material for optimal breatheability.  Two rear pockets with reflective piping and logo plus a zippered pocket for walle"
0710051PART,Giordana Corsa Cycling Jersey,"A jersey that offers benefits not commonly found in this price category.
Miniquadro fabric for maximum ventilation.
Full zip helps even more.
Black side panels are sewn with flat stitching.",Bicycles > Jerseys,0710051PART/nt,http://www.bicyclebuys.com/productimages/0710051PART.jpg,49.99,60,Giordana,,,Free Shipping On Orders Over $150.00,Yes,New,,"A jersey that offers benefits not commonly found in this price category.
Miniquadro fabric for maximum ventilation.
Full zip helps even more.
Black side panels are sewn with flat stitching."
0710052PART,Giordana Sprint Cycling Jersey,"Giordana  Sprint Cycling Jersey.  Made of TVX2 fabric utilizes high quality polyester yarns knit in patterns to maximize the material's ability to breathe.",Bicycles > Jerseys,0710052PART/nt,http://www.bicyclebuys.com/productimages/0710052PART.jpg,69.99,95,Giordana,,,Free Shipping On Orders Over $150.00,Yes,New,,"Giordana  Sprint Cycling Jersey.  Made of TVX2 fabric utilizes high quality polyester yarns knit in patterns to maximize the material's ability to breathe."
0780224PART,Giordana Flag Cycling Socks,"Giordana Flag Cycling Socks. Cycling socks based on different country flags. 50% CoreSPUN CoolMax®,40% Nylon,10% Lycra®",Bicycles > Cycling Socks,0780224PART/nt,http://www.bicyclebuys.com/productimages/0780224PART.jpg,8.99,11,Giordana,,,Free Shipping On Orders Over $150.00,Yes,New,,"Giordana Flag Cycling Socks. Cycling socks based on different country flags. 50% CoreSPUN CoolMax®,40% Nylon,10% Lycra®"
0780226PART,Giordana Trade Logo Cycling Socks,"Giordana's socks featuring logos of their trade companies. 50% CoreSPUN CoolMax®,40% Nylon,10% Lycra®",Bicycles > Cycling Socks,0780226PART/nt,http://www.bicyclebuys.com/productimages/0780226PART.jpg,8.99,10,Giordana,,,Free Shipping On Orders Over $150.00,Yes,New,,"Giordana's socks featuring logos of their trade companies. 50% CoreSPUN CoolMax®,40% Nylon,10% Lycra®"
0710055PART,Giordana Tenax Short '09,"Giordana Tenax Short. Athletes and coaches acknowledge the positive training effect of slight muscle compression which is why Giordana uses Hercules power lycra. Exclusive anatomical panels conform to natural contours of body musculature.",Bicycles > Cycle Shorts,0710055PART/nt,http://www.bicyclebuys.com/productimages/0710055PART.jpg,89.99,125,Giordana,,,Free Shipping On Orders Over $150.00,Yes,New,,"Giordana Tenax Short. Athletes and coaches acknowledge the positive training effect of slight muscle compression which is why Giordana uses Hercules power lycra. Exclusive anatomical panels conform to natural contours of body musculature."
0710061PART,Giordana Super Roubaix Leg Warmers '09,"Super Roubaix Leg Warmers for those days when you don't quite need to wear tights. Zipper at ankle to ease putting on and removing. Easy to stow in jersey pocket.",Bicycles > Winter Clothing / Accessories,0710061PART/nt,http://www.bicyclebuys.com/productimages/0710061PART.jpg,39.99,50,Giordana,,,Free Shipping On Orders Over $150.00,Yes,New,,"Super Roubaix Leg Warmers for those days when you don't quite need to wear tights. Zipper at ankle to ease putting on and removing. Easy to stow in jersey pocket."
LGMUWPART,Louis Garneau Multi Spinning Shoe Womens,"The sylish, comfortable Louis Garneau Women's Multi Cycling Shoe is one of the world's most popular women's cycling shoes.  Great for roadies, spinners, and mountain bikers.<span class=price>For spin shoes and spin classes use the Bikehard Spinning clea",Bicycles > Spinning Shoes,LGMUWPART/nt,http://www.bicyclebuys.com/productimages/LGMUWPART.jpg,64.99,80,Louis Garneau,,,Free Shipping On Orders Over $150.00,Yes,New,,"The sylish, comfortable Louis Garneau Women's Multi Cycling Shoe is one of the world's most popular women's cycling shoes.  Great for roadies, spinners, and mountain bikers.<span class=price>For spin shoes and spin classes use the Bikehard Spinning clea"
0771022PART,Bellwether Switchback Baggy Cycle Short,"Bellwether Switchback Baggy Cycle Short has all the design features needed for any epic adventure in the back country. Hydrophobic, durable Hyper DWR outer shell fabric is lightweight, tough, and quick drying. The gusseted design removes any unwanted seam",Bicycles > Cycle Shorts,0771022PART/nt,http://www.bicyclebuys.com/productimages/0771022PART.jpg,49.99,75,Bellwether,,,Free Shipping On Orders Over $150.00,Yes,New,,"Bellwether Switchback Baggy Cycle Short has all the design features needed for any epic adventure in the back country. Hydrophobic, durable Hyper DWR outer shell fabric is lightweight, tough, and quick drying. The gusseted design removes any unwanted seam"
KETA6PART,Kestrel Talon Frameset '06,"The Talon is the ultimate chameleon, designed with slick aero cross-sections throughout to split the wind, and versatile geometry that lets it perform in road races and time trials. The front triangle’s one-piece aero monocoque and strategically optimized",Bicycles > Road Framesets,KETA6PART/nt,http://www.bicyclebuys.com/productimages/KETA6PART.jpg,999.95,1400,Kestrel,,,Free Shipping On Orders Over $150.00,Yes,New,,"The Talon is the ultimate chameleon, designed with slick aero cross-sections throughout to split the wind, and versatile geometry that lets it perform in road races and time trials. The front triangle’s one-piece aero monocoque and strategically optimized"
KETASL6PART,Kestrel Talon SL Frameset '06,"The Talon SL takes Talon’s hyper-engineered refinement to the next level, sharing the Talon’s slick shape and road-holding geometry but with a layup schedule optimized for our 800k high-modulus carbon. Talon SL puts the Talon’s razor-honed ride, ruthless ",Bicycles > Road Framesets,KETASL6PART/nt,http://www.bicyclebuys.com/productimages/KETASL6PART.jpg,1499.95,2200,Kestrel,,,Free Shipping On Orders Over $150.00,Yes,New,,"The Talon SL takes Talon’s hyper-engineered refinement to the next level, sharing the Talon’s slick shape and road-holding geometry but with a layup schedule optimized for our 800k high-modulus carbon. Talon SL puts the Talon’s razor-honed ride, ruthless "
0700072PART,Kestrel Logo Jersey,"New-for-2006. Updated go-fast graphics make you look almost as fast as your Kestrel, in moisture-wicking, stay-cool comfort.",Bicycles > Jerseys,0700072PART/nt,http://www.bicyclebuys.com/productimages/0700072PART.jpg,79.99,90,Kestrel,,,Free Shipping On Orders Over $150.00,Yes,New,,"New-for-2006. Updated go-fast graphics make you look almost as fast as your Kestrel, in moisture-wicking, stay-cool comfort."
0700073PART,Kestrel Cycling Socks,"Kestrel Cycling Socks.  Made from a blend of quick drying micro-dimensional acrylic, DuPont Lycra and stretch nylon; these performance socks feature a reinforced toe and heel, as well as MAX VENT mesh knit for ultimate breathability. Exclusively made for ",Bicycles > Cycling Socks,0700073PART/nt,http://www.bicyclebuys.com/productimages/0700073PART.jpg,10.99,13,Kestrel,,,Free Shipping On Orders Over $150.00,Yes,New,,"Kestrel Cycling Socks.  Made from a blend of quick drying micro-dimensional acrylic, DuPont Lycra and stretch nylon; these performance socks feature a reinforced toe and heel, as well as MAX VENT mesh knit for ultimate breathability. Exclusively made for "
DIERP6PART,Diadora Ergo Plus Road Shoe,"Diadora Ergo Plus Road Shoe.  FITTING: ERGONOMIC FIT®.
INSOLE: removable, innovative ultra-ventilated in E.V.A., protects feet from humidity and prevents foot soreness.
HEEL: anatomic, CLOSE FITTING inner cup in Polytech®.
UPPER: in Suprell PU, with st",Bicycles > Road Shoes,DIERP6PART/nt,http://www.bicyclebuys.com/productimages/DIERP6PART.jpg,79.95,119.95,Diadora,,,Free Shipping On Orders Over $150.00,Yes,New,,"Diadora Ergo Plus Road Shoe.  FITTING: ERGONOMIC FIT®.
INSOLE: removable, innovative ultra-ventilated in E.V.A., protects feet from humidity and prevents foot soreness.
HEEL: anatomic, CLOSE FITTING inner cup in Polytech®.
UPPER: in Suprell PU, with st"
DIERPMTB6PART,Diadora Ergo Plus MTB Shoe,"^Diadora Ergo Plus MTB Shoe '06. FITTING: ^ERGONOMIC FIT®.
^INSOLE: removable, innovative ultra-ventilated in E.V.A., protects feet from humidity and prevents foot soreness.
^HEEL: anatomic, CLOSE FITTING inner cup in Polytech®.
^UPPER: in Suprell PU, ",Bicycles > Mountain Shoes,DIERPMTB6PART/nt,http://www.bicyclebuys.com/productimages/DIERPMTB6PART.jpg,79.99,140,Diadora,,,Free Shipping On Orders Over $150.00,Yes,New,,"^Diadora Ergo Plus MTB Shoe '06. FITTING: ^ERGONOMIC FIT®.
^INSOLE: removable, innovative ultra-ventilated in E.V.A., protects feet from humidity and prevents foot soreness.
^HEEL: anatomic, CLOSE FITTING inner cup in Polytech®.
^UPPER: in Suprell PU, "
