RETSKU	PRODUCT TITLE	DETAILED DESCRIPTION	CATEGORIZATION	PRODUCT URL	PRIMARY IMAGE URL	SELLING PRICE	REGULAR PRICE	Condition	MANUFACTURER NAME	MANUFACTURER PART NUMBER	UPC / EAN	Availability	Color	Size	Material	Gender	Shipping
0720791PART	Bellwether Thermaldress Tight	"Bellwether Thermaldress Tight.  Thermaldress Fabric provides incredible temperature regulation with superior durability and performance. Its unique construction traps body heat within the soft brushed inner surface of the fabric while transferring out moi"	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0720791PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0720791PART.jpg	59.99	70	New	Bellwether	97541		Yes					-1
0720792PART	Bellwether Thermaldress Tight W/Chamois Pad	"Bellwether Thermaldress Tight W/Chamois Pad.  Black.  Thermaldress Fabric provides incredible temperature regulation with superior durability and performance. Its unique construction traps body heat within the soft brushed inner surface of the fabric whil"	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0720792PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0720792PART.jpg	69.99	80	New	Bellwether			Yes					-1
0720793PART	Bellwether Windfront Tight	"""Bellwether Windfront Tight. Black. For the coldest days, front paneling is comprised of tightly woven Exo-grid fabric, which is highly wind resistant as well as water repellent.
The rear panel is made from Thermaldress fabric which provides excellent str"""	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0720793PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0720793PART.jpg	64.99	80	New	Bellwether			Yes					-1
0720794PART	Bellwether Convertible Jacket	"Covering the need to have both a jacket and vest in one.  Outstanding quality and value in a piece which converts instantly from jacket to vest.  Tightly woven EXO-Grid fabric makes this jacket durable, windproof and water repellent while maintaining grea"	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0720794PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0720794PART.jpg	79.99	100	New	Bellwether	90519554	797662116049	Yes					-1
0720795PART	Bellwether Velocity Jacket	"Bellwether Velocity Jacket.  Highly technical wind repellent jacket in a lightweight compactable design which can be easily stowed away as temperature changes throughout the course of a ride.  Tightly woven EXO-Grid? shell makes this vest durable, wind pr"	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0720795PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0720795PART.jpg	49.99	60	New	Bellwether			Yes					-1
0720797PART	Bellwether Thermaldress Woman's Tight	"Bellwether Thermaldress Tight.  Thermaldress Fabric provides incredible temperature regulation with superior durability and performance. Its unique construction traps body heat within the soft brushed inner surface of the fabric while transferring out moi"	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0720797PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0720791PART.jpg	59.99	70	New	Bellwether			Yes					-1
0720798PART	Bellwether Thermaldress Woman's Tight W/Chamois Pad	"Bellwether Thermaldress Tight W/Chamois Pad.  Black.  Thermaldress Fabric provides incredible temperature regulation with superior durability and performance. Its unique construction traps body heat within the soft brushed inner surface of the fabric whil"	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0720798PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0720792PART.jpg	69.99	80	New	Bellwether			Yes					-1
0710214PART	Bellwether Max Glove	"The Bellwether max glove is one of the warmest gloves you can find yourself. Both windproof and waterproof, the outer shell is designed to protect you from the elements while the inner fleece liner insulates your warmth. A drawstring on the cuff area crea"	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0710214PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0710214PART.jpg	36.99	45	New	Bellwether	98567		Yes			Polyurethane                                      	unisex    	-1
0710070PART	Giordana Forma Bib Short Black '08	"Body Clone Forma Bib Shorts are the future of cycling shorts. They have been developed through Giordana's extensive collaboration with professional cycling teams and top athletes throughout the world. Forma bibs are constructed on a curve to follow the na"	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0710070PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0710070PART.jpg	149.99	149.99	New	Giordana			Yes					-1
0710075PART	Giordana Torino Cycling Jersey	"""The Giordana Torino Jersey <B>Features:</B> ^Constructed of TVX3 fabric.
^Features a 45 cm invisible zipper.
^Hemmed elastic waistband.
^Three rear cargo pockets ."""	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0710075PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0710075PART.jpg	74.99	84.99	New	Giordana			Yes					-1
NWFR40N	Northwave Freeride Size 40 Black	""" Northwave Freedom
 Cordura® & Suede Leather
 Interlocking Gilly style looped lace system"""	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/NWFR40N&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/nwfr.jpg	99.99	0	New	Northwave			Yes	Black	40			-1
0790074PART	Louis Garneau Ergotex 2 Shorts	"Louis Garneau Ergotex 2 Shorts has 4-way stretch textured (waffle) fabric which provides amazing ventilation and breathability but also, a great fit in motion."	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0790074PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0790074PART.jpg	89.99	100	New	Louis Garneau	1050224		Yes			Lycra                                             	unisex    	-1
0790075PART	Louis Garneau Oslo Bib Tight	"Windtunnel tested and proven to the best the most aerodynamic fabric for speed of 15 to 45 mph, the aerodynamic Speed Matrix Shorts while crafted for speed, perform with comfort.  Speed Mesh bib straps are very comfortable and breathable. Patented Matrix "	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0790075PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0790075PART.jpg	84.99	100	New	Louis Garneau	1069083		Yes			Lycra                                             	male      	-1
0790076PART	Louis Garneau Gemini Bib Tight	"Louis Garneau Gemini Bib Tight.  Keep warm without feeling like your wearing grandpa's old long johns.  Great for cyclists, runners, and people who just hate baing cold."	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0790076PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0790075PART.jpg	89.99	130	New	Louis Garneau			Yes					-1
0790097PART	Louis Garneau Square Jersey	"Louis Garneau Square Jersey. Diamond-Square fabric provides amazing breathability and moisture management properties to keep you cool and dry."	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0790097PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0790097PART.jpg	49.99	65	New	Louis Garneau	1020268		Yes					-1
0790078PART	Louis Garneau Alveo 2 Bib Short	"Louis Garneau Alveo Bib Short has the dual-material Alveo fabric providing an amazing abrasion resistance without compromising breathability, support and comfort. This fabric has a UPF/SPF 50"	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0790078PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0790078PART.jpg	129.99	160	New	Louis Garneau	1058072		Yes					-1
0790079PART	Louis Garneau Ergotex Air Elite 2 Bib Short	"Louis Garneau Ergotex Air Elite 2 Bib Short has a 4-way stretch textured (waffle) fabric that provides amazing ventilation and breathability as well as a great fit in motion."	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0790079PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0790079PART.jpg	89.99	130	New	Louis Garneau			Yes					-1
0790099PART	Louis Garneau Women's Ergotex 2 Short	"Louis Garneau Women's Ergotex 2 Short utilizes Ergotex fabric which is a 4-way stretch textured fabric that provides amazing ventilation and breathability but also, a great fit in motion."	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0790099PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0790099PART.jpg	89.99	100	New	Louis Garneau			Yes					-1
0751004PART	Fox Baseline Baggy Short	"Fox Baseline Baggy Short '10. Compared to 12"-15" inseam on most Fox Short, Baseline short comes in at 11". For the riders who wants the Fox look without the short being too baggy, this is it. It has a fixed inner liner and a waist cord for comfort and se"	Sporting Goods > Bicycles & Scooters > Apparel	http://www.bicyclebuys.com/item/0751004PART&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0751004PART.jpg	39.95	60	New	Fox	26093		Yes					-1
