code	name	description	price	product-url	merchant-site-category	image-url	manufacturer	classification	condition	size	color	SalePrice	MSRP	in-stock	availability	promo-text	shipping-price
1010047-7	Shimano CS-HG50 13-30 7/speed Cassette Black	Shimano HG 50 13-30 7/speed Cassette. Works with 7 speed shimano hub.	29.989999999999998	http://www.bicyclebuys.com/drivetrain/Cassettes/1010047-7	Bicycles > Cassettes > Cassettes	http://www.bicyclebuys.com/productimages/1010047-7.jpg	Shimano	new	new			29.99	40	y	1,2		
1630469PART	Easton EA 30 Stem	The Easton EA30 4-bolt stem is packed with features such as Easton’s new Top-Lock™ technology, DST™ and proven TaperWall™ technology. The 3D Forged design ensures maximum strength, while the shot-peen finish provides great fatigue life. A perfect enhancem	29.989999999999998	http://www.bicyclebuys.com/barsstems/Stems/1630469PART	Bicycles > Stems > Stems	http://www.bicyclebuys.com/productimages/1630469PART.jpg	Easton	new	new	105mm		25.4915	40	y	1,2	Limited Time 	
PIXAEWPART	Pearl Izumi X-Alp Enduro Women's MTB/Spin Cycling Shoe '08	Pearl Izumi X-Alp Enduro Women's MTB/Spin Cycling Shoe '08 is a performance oriented X-Alp with 2 velocro straps and 1 ratchet strap to ensure tight fit. Just like other X-Alps, Enduro gives you the versatility to walk, hike, and ride.	94.989999999999995	http://www.bicyclebuys.com/shoes/ShoeMTB/PIXAEWPART	Bicycles > Shoes > Mountain Shoes	http://www.bicyclebuys.com/productimages/PIXAEWPART.jpg	Pearl Izumi	new	new			94.99	110	y	1,2		
PIXALPART	Pearl Izumi X-Alp Low MTB/Spin Cycling Shoe '08	Pearl Izumi X-Alp Low MTB/Spin Cycling Shoe '08 performs as well off the bike as on the bike. The stiff nylon R&R plate provides power transfer to the pedals when you need it, but gives you good toe spring and forefoot flexibility when the going gets to s	79.989999999999995	http://www.bicyclebuys.com/shoes/ShoeMTB/PIXALPART	Bicycles > Shoes > Mountain Shoes	http://www.bicyclebuys.com/productimages/PIXALPART.jpg	Pearl Izumi	new	new			79.99	90	y	1,2		
0740431PART	Pearl Izumi Attack Bib Knicker	Pearl Izumi Attack Bib Knicker. This value packed 8-panel bib knicker offers warmth and comfort for cool weather riding.	89.989999999999995	http://www.bicyclebuys.com/clothing/BibShorts/0740431PART	Bicycles > Bib (short & tight) > Bibs (short & tight)	http://www.bicyclebuys.com/productimages/0740431PART.jpg	Pearl Izumi	new	new			89.99	100	y	1,2		
0151106	Mavic Wintech Second Bike Kit	Mavic Wintech Second Bike Kit gives the flexibility of maintaining ride data on more thatn one bike.  The automatic second bike recognition function allows the same computer to be used easily on two different bikes.  Speed sensor is integrated into the qu	36.990000000000002	http://www.bicyclebuys.com/electronics/Computers/0151106	Bicycles > Cycle Computers > Cycle Computers	http://www.bicyclebuys.com/productimages/0151106.jpg	Mavic	new	new			36.99	40	y	1,2		
ADARPPART	Adidas AdiStar Road Pro Cycling Shoe	Adidas adiStar Road Pro Cycling Shoes are exceptionally lightweight. Featuring a Prolite Full-Carbon Outsole, fast strap SL system, SL micro ratchet, and 2-position replaceable adjustment. Constructed of 3D Mesh and Microfiber synthetic upper for comfort 	149.94999999999999	http://www.bicyclebuys.com/shoes/ShoeRoad/ADARPPART	Bicycles > Shoes > Road Shoes	http://www.bicyclebuys.com/productimages/ADARPPART.jpg	Adidas	new	new			149.95	200	y	1,2		
ADASXUPART	Adidas AdiStar XC Ultra Cycling Shoe	A pure World Cup XC shoe developed with top pros to deliver maximum energy transfer and performance that will get you to the podium. XC-lite Carbon Outsole/TPU and rubber lugs. Fast stap SL system. Ultra SL micro ratchet, 2-position adjustment(replaceable	189.94999999999999	http://www.bicyclebuys.com/shoes/ShoeMTB/ADASXUPART	Bicycles > Shoes > Mountain Shoes	http://www.bicyclebuys.com/productimages/ADASXUPART.jpg	Adidas	new	new			189.95	220	y	1,2		
SHM225SEPART	Shimano M225SE (Wide) Mountain Shoe (Silver)	New designed lightweight outsole, featuring: Stable mud shedding yet aggressive design, 15% improved grip and anti-slip function. Dual injection Nylon/PU outer sole, Unique carbon fibre insert plate for superb rigidness and energy transferSpike option. Op	149.99000000000001	http://www.bicyclebuys.com/shoes/ShoeMTB/SHM225SEPART	Bicycles > Shoes > Mountain Shoes	http://www.bicyclebuys.com/productimages/SHM225SPART.jpg	Shimano	new	new		Silver	149.99	170	y	1,2		
0150121	Louis Garneau Littletown Seat Bag	The Louis Garneau Littletown bag has a Velcro strap system for easy install and removal.    Reflective piping.   Big Mouth front opening for easy access.  Rear buckle for tail light.	10.99	http://www.bicyclebuys.com/bagsracks/BagSeat/0150121	Bicycles > Bags > Seat Bags	http://www.bicyclebuys.com/productimages/0150121.jpg	Louis Garneau	new	new			10.99	15	y	1,2		
0123008	Kurt Kinetic Riser Ring	When training indoors, leveling out the bike is a great idea. Use the Kinetics King Ring. Adjustable to four heights to simulate flat roads on almost any bike. Sits easily under most front tires for a stable ride, no matter how hard or long the workout.	19.989999999999998	http://www.bicyclebuys.com/indoortrainers/indoortrainers/0123008	Bicycles > Indoor Trainers > Indoor Trainers	http://www.bicyclebuys.com/productimages/0123008.jpg	Kurt Kinetic	new	new			19.99	19.989999999999998	y	1,2		
SHR085PART	Shimano SH-R085 Road Shoe	Shimano Road Cycling R085 is an incredible value at an MSRP of 100.00.  Very lightweight with 2 velcro and a ratchet buckle system.	89.989999999999995	http://www.bicyclebuys.com/shoes/ShoeRoad/SHR085PART	Bicycles > Shoes > Road Shoes	http://www.bicyclebuys.com/productimages/SHR085PART.jpg	Shimano	new	new			89.99	100	y	1,2	Free Shipping	0.00
ADVOPART	Adidas Voltage Cycling Shoe	Adidas Voltage cycling shoe gives you exceptional grip and performance on all types of difficult terrain..	74.950000000000003	http://www.bicyclebuys.com/shoes/ShoeMTB/ADVOPART	Bicycles > Shoes > Mountain Shoes	http://www.bicyclebuys.com/productimages/ADVOPART.jpg	Adidas	new	new			74.95	85	y	1,2		
1428803	Avid Organic Disc Brake Pads BB5	Avid Disc Brake Pads install easily without tools.  For Mechanical Avid Ball bearing Disc Brakes.	14.99	http://www.bicyclebuys.com/bikeparts/BrakesDisc/1428803	Bicycles > Brakes-Disc > Disc Brakes	http://www.bicyclebuys.com/productimages/1428803.jpg	Avid Brake	new	new			14.99	20	y	1,2		
0701150PART	Michelin (Hincapie) Team Jersey	World class quality & style, 15''/38 cm invisible zip, Elastic at bottom, 3 back pockets.	79.989999999999995	http://www.bicyclebuys.com/clothing/Jerseys/0701150PART	Bicycles > Jerseys > Jerseys	http://www.bicyclebuys.com/productimages/0701150PART.jpg	Michelin	new	new			79.99	70	y	1,2		
1504110	Shimano Deore Crankset (Octalink) FC-470	Shimano Deore Crankset (Octalink) FC-470.  Designed with the Hollowtech technology for Octalink BB.  9/speed chaninrings, 48/36/24 gearing.	54.990000000000002	http://www.bicyclebuys.com/drivetrain/Cranks/1504110	Bicycles > Cranksets > Crank Sets	http://www.bicyclebuys.com/productimages/1504110.jpg	Shimano	new	new			54.99	80	y	1,2		
0750140PART	Louis Garneau Sierra Gloves	Louis Garneau Sierra Gloves features:  Cotton knit back, Fleece thumbs, Lycra fourchettes, Ergonomic palms, Adjustable wrists, Foam padding, Ergo Air vent system.	10.99	http://www.bicyclebuys.com/clothing/Gloves/0750140PART	Bicycles > Gloves > Cycling Gloves	http://www.bicyclebuys.com/productimages/0750140PART.jpg	Louis Garneau	new	new			10.99	15	y	1,2		
0790059PART	Sugoi Neo Pro Short	Sugoi Neo Pro Short features EMM (Enhanced Moisture Management) which takes nylon/spandex to a higher level of performance. 6 panel contour. 9 inch inseam. Presto Chamois is a seamless molded construction with a soft, brushed surface for a cool comfortabl	44.990000000000002	http://www.bicyclebuys.com/clothing/Shorts/0790059PART	Bicycles > Shorts > Cycle Shorts	http://www.bicyclebuys.com/productimages/0790059PART.jpg	Sugoi	new	new			44.99	50	y	1,2		
0509333PART	Spinergy Xaero-Lite Wheelset	Spinergy Xaero-Lite Wheelset is an Ultra light weight, high-performance wheel designed for racing on all types of courses.	449.99000000000001	http://www.bicyclebuys.com/wheels/WheelRoad/0509333PART	Bicycles > Road Wheels > Road Wheels	http://www.bicyclebuys.com/productimages/0509333PART.jpg	Spinergy	new	new			449.99	550	y	1,2		
0750145PART	Louis Garneau Biogel RX Gloves	Louis Garneau Biogel RX Gloves are the best gloves on the market for the money. Excellent fit, quality materials, and ultimate attention to detail design make this glove rival many gloves double its price.	16.989999999999998	http://www.bicyclebuys.com/clothing/Gloves/0750145PART	Bicycles > Gloves > Cycling Gloves	http://www.bicyclebuys.com/productimages/0750145PART.jpg	Louis Garneau	new	new			16.99	20	y	1,2		
DISRCPART	Diadora Speedracer Carbon R Cycling Shoe '09	Diadora Speedracer Carbon Road Cycling Shoe  is a value packed co-molded carbon shoe with high performance features. Made of the same premium microfiber as the elite race shoes with all the feature benefits for the performance rider including a micrometri	149.99000000000001	http://www.bicyclebuys.com/shoes/ShoeRoad/DISRCPART	Bicycles > Shoes > Road Shoes	http://www.bicyclebuys.com/productimages/DISRCPART.jpg	Diadora	new	new			149.99	170	y	1,2		
BESO9PART	Bell Solar Sport Cycling Helmet '09	Like the rising sun, the new Bell Solar lights up the Bell line. Features Bell's ErgoDial fit system, Fusion In-Mold construction, Cam-lock levers for easy strap adjupstment and 23 ventilation ports to keep you cool.	34.990000000000002	http://www.bicyclebuys.com/helmets/HelmetSport/BESO9PART	Bicycles > Helmets > Sport Helmets	http://www.bicyclebuys.com/productimages/BESO8PART.jpg	Bell	new	new			34.99	35	y	1,2		
GIPN8PART	Giro Pneumo Road Helmet '08	The Giro Pneumo offers top-level performance, full internal reinforcement and a sleek silhouette that captures the essence of perfect, winding roads. But it's the amazing amount of "nothing" in this helmet that makes it so special.	129.99000000000001	http://www.bicyclebuys.com/helmets/HelmetRoad/GIPN8PART	Bicycles > Helmets > Road Helmets	http://www.bicyclebuys.com/productimages/GIPN8PART.jpg	Giro	new	new			110.4915	145	y	1,2	Discontinued Item 	
1736252	Park BAG-15 Professional Race Repair Stand Carrying Bag	Heavyweight nylon bag with shoulder strap for transporting and storing the PRS-15 Race Stand. Extremely durable.	24.989999999999998	http://www.bicyclebuys.com/maintenance/RepairStands/1736252	Bicycles > Tools > Bicycle Repair Stands	http://www.bicyclebuys.com/productimages/1736252.jpg	Park	new	new			24.99	40	y	1,2		
0119762	Topeak Aero Medium Wedge Pack DX (TC2268B)	Topeak Aero Medium Wedge Pack DX. The aerodynamic wedge shape lets these under seat bags slip easily through the wind while the internal pockets keep tools away from inner tubes and other delicate items. The DX medium bag provides just the right amount of	24.989999999999998	http://www.bicyclebuys.com/bagsracks/BagSeat/0119762	Bicycles > Bags > Seat Bags	http://www.bicyclebuys.com/productimages/0119762.jpg	Topeak	new	new			24.99	30	y	1,2		
0486693	Haro MX 9/16" Pedal	Haro MX 9/16" Pedal. These pedals are constructed  of lightweight aluminum and feature replaceable pins.	22.989999999999998	http://www.bicyclebuys.com/pedals/PedalsReg/0486693	Bicycles > Regular Pedals > Bmx / Adult Standard Pedals	http://www.bicyclebuys.com/productimages/0486693.jpg	Haro	new	new			22.99	30	y	1,2		
0508043PART	Easton EA90 SL Road Wheels	The EA90 SL takes the best attributes of the EA90 SLX and adds a few more spokes to give increased lateral stiffness for the bigger, stronger rider. At only 60 grams more, the EA90 SL is a formidable competitor that combines light weight, enhanced lateral	699.99000000000001	http://www.bicyclebuys.com/wheels/WheelRoad/0508043PART	Bicycles > Road Wheels > Road Wheels	http://www.bicyclebuys.com/productimages/0508043PART.jpg	Easton	new	new			594.9915	700	y	1,2	Free Shipping	0.00
1599955PART	Campagnolo Record External Bottom Bracket Cups	Campagnolo Record External Cups are used with the Ultra Torque cranksets.  Compatible with Record, Chorus and Centaur.  Italian or English versions.  Weight 49gms.	24.989999999999998	http://www.bicyclebuys.com/drivetrain/BBBrackets/1599955PART	Bicycles > Bottom Brackets > Bottom Brackets	http://www.bicyclebuys.com/productimages/1599955PART.jpg	Campagnolo	new	new			24.99	35	y	1,2		
