Category ID	Manufacturer	Title	Description	Product URL	Image URL	SKU	Availability	Condition	Ship Weight	Ship Cost	Bid	Promotional Code	UPC	Price
100,001,449	Thule	Thule Aero Foot 400XT	Designed for your vehicles without rain gutters. Foot tightens to bar and roof simultaneously. Custom fit for your car with Fit Kit. Please call us for detailed fitting information pertaining to your specific vehicle.	http://www.bicyclebuys.com/item/0852006/szla&utm_source=shopzilla&utm_medium=comparison-shopping&utm_campaign=ShopZilla	http://www.bicyclebuys.com/productimages/085200.gif	0852006	YES	NEW			0.35	1	091021400573	156.95
100,001,449	Thule	Thule Frame Adaptor (982XT)	Thule offers a simple solution to the rear rack/ full suspension quandry. At long last the Thule Frame Adaptor allows dual-suspension bikes to be carried on almost any rear mount bike rack by creating a false top-tube.	http://www.bicyclebuys.com/item/0129972/szla&utm_source=shopzilla&utm_medium=comparison-shopping&utm_campaign=ShopZilla	http://www.bicyclebuys.com/productimages/0129972.jpg	0129972	YES	NEW			0.35	1	091021982178	36.99
100,001,449	Polar Electro USA	Polar CS100 Heart Rate Monitor And Cycle Computer	Polar CS100 Heart Rate Monitor has the following features: Wireless ECG accurate heart rate.  Polar OwnZone®, Polar OwnCal®, Polar OwnCode®, Target zones with visual alarm, Target zones with audible alarm, Maximum heart rate of total exercise.	http://www.bicyclebuys.com/item/0100069/szla&utm_source=shopzilla&utm_medium=comparison-shopping&utm_campaign=ShopZilla	http://www.bicyclebuys.com/productimages/0100069.jpg	0100069	YES	NEW			0.35	1	7 25882 48282 8	99.99
100,001,449	SKS	SKS Sub 40 Mini Pump	39 grams, the new world record for bicycle pumps. Thanks to SKS's revolutionary ThinSkin technology, they have been able to drive down the weight of the Sub 40 (get it?) below the 40g mark. However, lightweight construction alone is no use for the ambitio	http://www.bicyclebuys.com/item/0100055PART/szla&utm_source=shopzilla&utm_medium=comparison-shopping&utm_campaign=ShopZilla	http://www.bicyclebuys.com/productimages/0100055PART.jpg	0100055PART	YES	NEW			0.35	1		24.99
100,001,449	Topeak	Topeak Mini Morph Pump (TMM-1)	Topeak Mini Morph Pump.  This beautiful pump is equipped with a T-handle and Smarthead. A mini pump for the new millennium. Padded Elastomer T-handle and head provides a comfortable grip.	http://www.bicyclebuys.com/item/0119701/szla&utm_source=shopzilla&utm_medium=comparison-shopping&utm_campaign=ShopZilla	http://www.bicyclebuys.com/productimages/0119701.jpg	0119701	YES	NEW			0.35	1	768661117009	24.99
100,001,449	Blackburn	Blackburn EX-1 Rack	Blackburn EX-1 Rack is the perfect solution to your trekking/touring needs. Made of the highest quality aluminum and welded to exact specifications, this rack ensures hundreds of years of fail-safe operation.	http://www.bicyclebuys.com/item/0114528/szla&utm_source=shopzilla&utm_medium=comparison-shopping&utm_campaign=ShopZilla	http://www.bicyclebuys.com/productimages/0114528.jpg	0114528	YES	NEW			0.35	1	748071004458	44.99
100,001,449	Shimano	Shimano Shadow XT M772 SGS Rear Derailleur	Shmano Shadow XT M772 SGS Rear Derailleur.  Like the latest XTR, options are the emphasis of the new Deore XT. The debut of the Shimano Shadow Rear Derailleur yields a third rear derailleur option, joining the Top-Normal (NON-RAPID RISE). A Shadow RD plac	http://www.bicyclebuys.com/item/1010076/szla&utm_source=shopzilla&utm_medium=comparison-shopping&utm_campaign=ShopZilla	http://www.bicyclebuys.com/productimages/1010076.jpg	1010076	YES	NEW			0.35	1	689228130333	94.99
100,001,449	Sram	Sram XO 9/speed Shifters	ESP® 1:1® Actuation Ratio & SRS™ for light, precise indexing.  The body is designed with a 50mm "Shorty" w/lightweight Grilon® composite finish and ergo tornado style grip.	http://www.bicyclebuys.com/item/1010023/szla&utm_source=shopzilla&utm_medium=comparison-shopping&utm_campaign=ShopZilla	http://www.bicyclebuys.com/productimages/1010023.jpg	1010023	YES	NEW			0.35	1	710845008078	69.99
100,001,449	Shimano	Shimano PD-A530 Pedal	Shimano PD-A530 gives rider the ability to ride platform one day, clipped in the other. Sealed bearings, tension adjustment on engangement mechanism, spd compatible. Includes Shimano SH51 cleats. Very light at 383 grams per set... Available as either Silv	http://www.bicyclebuys.com/item/0402066PART/szla&utm_source=shopzilla&utm_medium=comparison-shopping&utm_campaign=ShopZilla	http://www.bicyclebuys.com/productimages/0402066.jpg	0402066PART	YES	NEW			0.35	1		74.99
100,001,449	Shimano	Shimano PD-M545 Clipless Pedal	PD-M545 off-road sport pedals. Easy step-in design, replaceable light alloy cages, dual pop-up SPD blindings, cartridge bearing axle. Weight:567g (pair)	http://www.bicyclebuys.com/item/0402067/szla&utm_source=shopzilla&utm_medium=comparison-shopping&utm_campaign=ShopZilla	http://www.bicyclebuys.com/productimages/0402067.jpg	0402067	YES	NEW			0.35	1	689228118782	84.99
100,001,449	Shimano	Shimano Dura-Ace Di2 RD-7970 Rear Derailleur	Shimano Dura-Ace Di2 RD-7970 Rear Derailleur. The revolutionary Dura-Ace Di2 electronic shifting option with SEIS (Shimano Electronic Intelligent System) takes the already superior Shimano shifting performance to a whole new level never seen before. The i	http://www.bicyclebuys.com/item/1010068/szla&utm_source=shopzilla&utm_medium=comparison-shopping&utm_campaign=ShopZilla	http://www.bicyclebuys.com/productimages/1010068.jpg	1010068	YES	NEW			0.35	1	689228278622	899.99
100,001,449	Specialized	Specialized El Gato Comp	Double mesh construction for breathability / Synthetic upper for lasting durability and weight savings / Dual straps, with a lace option for snug fit / Neoprene tongue for added warmth and breathability / Replaceable cleats	http://www.bicyclebuys.com/item/spegc/szla&utm_source=shopzilla&utm_medium=comparison-shopping&utm_campaign=ShopZilla	http://www.bicyclebuys.com/productimages/spegc.jpg	spegc	YES	NEW			0.35	1		69.99
100,001,449	Specialized	Specialized Rockhopper Shoe	Dual injection-molded one-piece outsole.  Lug assembly.  Suede upper and all-new graphics.	http://www.bicyclebuys.com/item/SPRH/szla&utm_source=shopzilla&utm_medium=comparison-shopping&utm_campaign=ShopZilla	http://www.bicyclebuys.com/productimages/sprh.jpg	SPRH	YES	NEW			0.35	1		49.99
100,001,449	Shimano	Shimano Tiagra 10 Speed Front Derailleur FD-4603	The Shimano TIAGRA Front Derailleur offers a greatly enhanced feel and sleek design that's backed by a new level of performance. The 10-speed compatible Tiagra front derailleur delivers pro features to sport-level road riders.  Compatible with 10 speed dr	http://www.bicyclebuys.com/item/1010200PART/szla&utm_source=shopzilla&utm_medium=comparison-shopping&utm_campaign=ShopZilla	http://www.bicyclebuys.com/productimages/1010200PART.jpg	1010200PART	YES	NEW			0.35	1		39.99
100,001,449	Shimano	Shimano LX 31.8mm FT. Derailleur Top Swing Bottom Pull	Shimano LX front derailleur. Bottom pull 31.8mm seat tube clamp top swing. The cage is above the clamp.	http://www.bicyclebuys.com/item/1010205/szla&utm_source=shopzilla&utm_medium=comparison-shopping&utm_campaign=ShopZilla	http://www.bicyclebuys.com/productimages/1010199.gif	1010205	YES	NEW			0.35	1		24.99
100,001,449	Shimano	Shimano Ultegra CN-6600 10/speed Chain	Shimano's CN6600 Ultegra 10/speed chain.  Super Narrow chain is uni-directional.  Weight 280gms.	http://www.bicyclebuys.com/item/1599907/szla&utm_source=shopzilla&utm_medium=comparison-shopping&utm_campaign=ShopZilla	http://www.bicyclebuys.com/productimages/1599907.jpg	1599907	YES	NEW			0.35	1	689228077119	44.99
100,001,449	Shimano	Shimano Ultegra 1" Threaded Headset JIS	Shimano Ultegra headset is constructed of lightweight alloy, to keep weight to a minimum. (108gms.) Sealed cartridge bearings keep out the elements. JIS standard sizing.	http://www.bicyclebuys.com/item/1604395/szla&utm_source=shopzilla&utm_medium=comparison-shopping&utm_campaign=ShopZilla	http://www.bicyclebuys.com/productimages/1604395.jpg	1604395	YES	NEW			0.35	1		54.99
100,001,449	Park	Park Chain Wear Gauge CC-2	Park Tool's Chain Checker offers a fantastic way to determine chain wear and stretch. Most chain manufacturers recommend chain replacement at 1% stretch. Failure to replace the chain at this point will result in poor shifting and uneven drive train wear.	http://www.bicyclebuys.com/item/1736219/szla&utm_source=shopzilla&utm_medium=comparison-shopping&utm_campaign=ShopZilla	http://www.bicyclebuys.com/productimages/1736219.jpg	1736219	YES	NEW			0.35	1	763477001313	26.95
