RETSKU	PRODUCT TITLE	DETAILED DESCRIPTION	CATEGORIZATION	PRODUCT URL	PRIMARY IMAGE URL	SELLING PRICE	REGULAR PRICE	Condition	MANUFACTURER NAME	MANUFACTURER PART NUMBER	UPC / EAN	Availability	Color	Size	Material	Gender	Shipping
1011041PART	Shimano 105 CS-5700 Cassette	"SShimano 105 CS-5700 Cassette. With a light weight aluminum carrier and continued improvement of the well-recognized Hyperglide ramps, the 105 cassette shifts with a confidence and crispness that is instantly identifiable as Shimano."	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/1011041PART#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/1011041PART.jpg	69.99	80	New	Shimano	ICS570010125	689228424319	Yes					-1
1011043	Shimano 105 5700 Black Road Group Build Kit	"New Shimano 105 incorporates many of the benefits that were originally developed for Dura-Ace 7900 series and integrated into Ultegra 6700 series. Overall, performance and durability is enhanced while the entire group manages to drop almost 30 grams from "	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/1011043#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/1011043.jpg	769.99	950	New	Shimano	5700		Yes					-1
0850259	Thule Passage 2 Bike Car Carrier (910XT)	"Thule Passage 2 Bike Car Carrier (910XT).  Carrying up to 2 bikes, this premium rear mounted bike carrier provides the perfect fit for your vehicle for added protection and stability."	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0850259#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0850259.jpg	98.95	110	New	Thule	910XT	091021569089	Yes			Steel                                             	unisex    	-1
0129951	Gear Up Oak Rack Free-Standing Bike Rack	"Gear Up Oak Rack Free-Standing Bike Rack is made of furniture grade American Red Oak with a hand rubbed oil stain and finish. This rack is a great storage solution for home, office, or any location with high, angled, or drop ceilings. 28" footprint, conse"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0129951#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0129951.jpg	189.99	200	New	Gear Up	20093	666696001143	Yes					-1
1799951	Topeak Cabriolet Front Handlebar Basket (TB2007)	"Topeak Cabriolet Front Handlebar Basket (TB2007).  Soft fabric basket with sturdy aluminum frame and engineering grade plastic handle. Features include an integrated sunscreen with window to protect delicate cargo from the elements. QuickClick™ mount atta"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/1799951#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/1799951.jpg	69.99	120	New	Topeak	TB2007	768661119478	Yes					-1
1011044PART	Sram Apex Rear Derailleur	"Sram Apex Rear Derailleur. SRAM again raises the bar of Rear Derailleur performance with our new Exact Actuation Apex rear derailleur. The Apex rear dearailleur represents the same design philosophy that has delivered our best in class products for the ro"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/1011044PART#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/1011044PART.jpg	59.99	75	New	Sram	00.7515.070		Yes					-1
1511046PART	Sram Apex Compact Crankset with GXP BB	"Sram Apex Compct Crankset with GXP BB. The Apex Crankset is designed to offer maximum stiffness with minimum weight. Utilizing our innovative Cold forging process the Apex crankset  tips the scales at less than 890 grams."	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/1511046PART#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/1511046PART.jpg	134.99	150	New	Sram	00.6115.420		Yes					-1
1011047	Sram Apex Brake Caliper Set	"Sram Apex Brake Caliper Set. The new Apex Brakeset from SRAM was designed with high performance and good looks as our guiding principles. Featuring Dual Pivot performance combined with a external centering adjuster, proprietary pad compound the Apex Brake"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/1011047#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/1011047.jpg	54.99	78	New	Sram	5115056000	710845648779	Yes					-1
1011048	Sram Apex Double Tap Shifter/Lever Set	"Sram Apex Double Tap Shifter/Lever Set. The new Apex Shifter, featuring the proprietary DoubleTap technology, offers significant new features and benefits such as independent "reach adjust" for both shift and brake levers. The Apex shifter utilizes a sing"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/1011048#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/1011048.jpg	329.95	400	New	Sram	00.7015.164.000	710845646737	Yes					-1
0509335PART	Easton EA90 XC Disc 26" Wheelset	"Easton EA90 XC wheels were designed for competitive trail riding and cross country racing. The welded EA90 aluminum rims keeps an airtight UST seal right out of the box (no need to mess with rim strips or sealant to turn these tubeless). The 19mm rim widt"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0509335PART#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0509335PART.jpg	799.95	900	New	Easton			Yes			Alloy                                             	unisex    	-1
1011049PART	Sram Apex PG-1050 10/speed Cassette	"First 11-32 on the road. Gears that are lower and higher than existing triple gear ratios with less redundancy and perfectly smooth gearing transitions. The wider range of gears provides efficiency for improved climbing and descending with unmatched effic"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/1011049PART#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/1011049PART.jpg	69.99	100	New	Sram	00.2415.058		Yes			Steel                                             	unisex    	-1
1011050	Sram Apex Road Group Build Kit	"The Sram Apex component group is more bang for the buck than any other road group on the market. Extrremely well engineered, this is a perfect group for the Rider who wants performance without a high expense."	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/1011050#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/1011050.jpg	679.99	800	New	Sram			Yes			Alloy                                             	unisex    	-1
0603211	Hutchinson Atom Comp Tubeless 700x23 Road Tire Black	"Hutchinson Atom Comp Tubeless 700x23 Road Tire features a uniform rubber tread, chosen to satisfy both lightweight and performance, and a slick type competition profile that performs very fast."	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0603211#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0603211.jpg	59.99	80	New	Hutchinson	pv521751	3248382042301	Yes			Carbon                                            	unisex    	-1
0603212	Hutchinson Intensive Tubeless 700x25 Road Tire Black	"Hutchinson Intensive Tubeless 700x25 Road Tire Black. Intensive is an ultra long distance tire with a thermoplastic reinforced compound that improves wear and performance without decreasing grip. Two compound Kevlar-Hardskin improves puncture resistance a"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0603212#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0603212.jpg	69.99	80	New	Hutchinson	pv521731	3248382042011	Yes			Rubber                                            	unisex    	-1
0123031PART	Hollywood Road Runner Aluminum 4 Bike Car Carrier	"Hollywood's Road Runner Aluminum 4 Bike Car rack is a lightweight easy to use and mount carrier.   Road Runners are built with a reinforced aluminum main post and support arms, tig welded and heat treated for maximum strength. Featuring durable rubber bik"	Sporting Goods > Bicycles & Scooters > Parts & Accessories	http://www.bicyclebuys.com/item/0123031PART#pricegrabber&utm_source=pricegrabber&utm_medium=comparison-shopping&utm_campaign=PriceGrabber	http://www.bicyclebuys.com/productimages/0123031PART.gif	239.95	320	New	Hollywood Engineering	ROADALLOY		Yes			Alloy                                             	unisex    	-1
